Company,Bike Model,Model Year,Price (Rs),Finance_Available(Yes/No),City,State
Jawa,Jawa Perak,2020,150000,Yes,South West Delhi, Delhi
Hero,Hero Splendor iSmart,2016,25000,Yes,Nellore, Andhra Pradesh
Hero,Hero Passion XTec,2022,65000,Yes,Madurai, Tamil Nadu
Bajaj,Bajaj Dominar 250,2022,160000,Yes,Seoni, Madhya Pradesh
Royal Enfield,Royal Enfield Classic Stealth Black,2022,190000,Yes,Jhajjar, Haryana
Jawa,Jawa 42 Bobber Black Mirror,2024,200000,Yes,Pune, Maharashtra
Aprilia,Aprilia RS 457,2024,420000,Yes,"Pimpri-Chinchwad, Pune", Maharashtra
BMW,BMW G 310 RR,2023,250000,Yes,Hazaribag, Jharkhand
Jawa,Jawa forty two,2019,140000,Yes,Hosur, Tamil Nadu
TVS,TVS Apache RTR 160 4V,2018,80000,Yes,"Devanahalli, Bangalore", Karnataka
Bajaj,Bajaj Avenger Cruise 220,2020,90000,Yes,Pune, Maharashtra
Royal Enfield,Royal Enfield Hunter 350 Metro,2023,160000,Yes,Kolkata, West Bengal
Bajaj,Bajaj Platina ComforTec 100 ES BS6,2018,39999,Yes,"Najafgarh, South West Delhi", Delhi
Royal Enfield,Royal Enfield Thunderbird 350,2017,125000,Yes,Pimpri-Chinchwad, Maharashtra
Royal Enfield,Royal Enfield Thunderbird 350,2018,250000,Yes,"Velachery, Chennai", Tamil Nadu
TVS,TVS Sport BS6,2021,35000,Yes,Ghaziabad, Uttar Pradesh
Yamaha,Yamaha MT-15 Ver 2.0,2022,178000,Yes,"Marathahalli, Bangalore", Karnataka
Royal Enfield,Royal Enfield Hunter 350 Retro,2024,185000,Yes,"Pathargama, Godda", Jharkhand
Yamaha,Yamaha YZF R15 V3,2018,95000,Yes,Pune, Maharashtra
TVS,TVS Scooty Zest,2019,25000,Yes,"Shaikpet, Hyderabad", Telangana
Ola,Ola S1 Pro,2023,80000,Yes,New Delhi, Delhi
Yamaha,Yamaha YZF R15 V2,2017,90000,Yes,Tiruchirappalli, Tamil Nadu
Honda,Honda Activa 6G Dlx,2022,50000,Yes,Sabar Kantha, Gujarat
Suzuki,Suzuki Burgman Street EX,2023,100000,Yes,"Bhandup, Mumbai", Maharashtra
TVS,TVS Apache RTR 160 4V,2020,100000,Yes,Dehradun, Utarakhand
Suzuki,Suzuki Access 125,2010,15000,Yes,"Nelamangala, Bangalore", Karnataka
Royal Enfield,Royal Enfield Hunter 350 Metro,2024,175000,Yes,"Maraimalai Nagar, Chengalpattu", Tamil Nadu
Hero,Hero Xtreme 160R,2022,90000,Yes,Jhunjhunu, Rajasthan
Yezdi,Yezdi Adventure Gloss,2022,200000,Yes,Thane, Maharashtra
Hero,Hero Pleasure Plus 110,2019,41000,Yes,Ranchi, Jharkhand
Hero,Hero Passion XTec,2020,55000,Yes,Madhubani, Bihar
Ola,Ola S1X Plus,2023,80000,Yes,Mumbai, Maharashtra
Revolt,Revolt RV 400,2022,50000,Yes,Ghaziabad, Uttar Pradesh
Honda,Honda Activa 4G,2017,40000,Yes,Thane, Maharashtra
Honda,Honda Activa 3G,2015,35000,Yes,"Dhrangadhra, Surendranagar", Gujarat
Yamaha,Yamaha YZF R15 S V3.0,2023,180000,Yes,Virudhunagar, Tamil Nadu
Bajaj,Bajaj Pulsar NS 125,2021,70000,Yes,Indore, Madhya Pradesh
Kawasaki,Kawasaki Z900 2022,2021,880000,Yes,"Banashankari, Bangalore", Karnataka
Evtric,Evtric Ride,2023,50000,Yes,Mumbai, Maharashtra
Triumph,Triumph Speed 400 2025,2025,265000,Yes,Gurgaon, Haryana
Yamaha,Yamaha RayZR Street Rally 125 Fi Hybrid 2024,2024,85000,Yes,Chhindwara, Madhya Pradesh
Royal Enfield,Royal Enfield Super Meteor 650,2024,350000,Yes,New Delhi, Delhi
Triumph,Triumph Scrambler 400 X,2024,250000,Yes,Vadodara, Gujarat
Royal Enfield,Royal Enfield Bullet 350,2017,95000,Yes,Bareilly, Uttar Pradesh
Bajaj,Bajaj Pulsar 135LS,2013,26000,Yes,"Hinjewadi, Pune", Maharashtra
TVS,TVS Raider Split Seat,2022,85000,Yes,Hisar, Haryana
TVS,TVS NTORQ 125 Race Edition BS6,2021,58000,Yes,"Alipur, North Delhi", Delhi
BMW,BMW G 310 R,2022,240000,Yes,Mumbai, Maharashtra
Triumph,Triumph Speed 400,2023,220000,Yes,Ludhiana, Punjab
Royal Enfield,Royal Enfield Hunter 350 Metro,2024,195000,Yes,Nagpur, Maharashtra
Yamaha,Yamaha R15 V4,2023,180000,Yes,Jalgaon, Maharashtra
Suzuki,Suzuki Gixxer SP,2017,65000,Yes,"Wakad, Pune", Maharashtra
